interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.17999999999999988	0.3299999999999999	279.56220744653547	263.3679801685642	300.19339460099985	0.32997772484352134	0.9241620912865404	81.89585501032364	72.34747876922505	85.04856327367835	--undefined--	273.8893598577234	269.13800863057327	264.58054983236286	267.3877206090778	276.05510410845017	286.41639816622524	293.66644517591226	298.42588382939414	296.5814703352882
2	iN	影	yiN	0.26	0.29000000000000004	284.85906520855127	188.69299242740038	338.01814938851237	0.921171601743701	0.36585207006906023	83.85668428063659	72.90224795849007	86.88284638877887	292.8842217118194	311.42375923733	324.00278189502785	335.6527025384251	330.54004845276864	303.2450820481624	273.1091311787841	233.42225845413955	199.79498604040307	216.86110668428663
3	iN	平	piN	0.06000000000000005	0.18000000000000005	213.1013834761826	198.93716395065616	225.06093309398327	1	0	80.73737700003022	80.28925764130086	81.30739676001883	225.06093309398327	222.53183264670244	219.8343264048697	217.1368201630371	214.75060865895313	212.39555574882522	210.04050283869742	206.4235924048818	202.68037817776897	198.93716395065616
4	%	时	s%	0.030000000000000027	0.1399999999999999	176.17005031751347	163.3066687821012	182.502706560519	1	0.3535525321239682	74.14825132910542	72.6606098937897	75.4611990062191	--undefined--	182.502706560519	182.502706560519	182.502706560519	179.80370212572845	176.50429545700317	173.2048887882776	169.90548211955203	166.60607545082678	163.3066687821012
5	ow	抠	kow	0.05999999999999983	0.19999999999999996	220.88858414390415	196.974268342801	239.96973078437586	0	0.6832508194343094	77.87559180784821	76.47580236538917	78.8716526343074	196.974268342801	203.10052208857496	209.14961415471527	215.19870622085585	223.08539058018061	231.15600606707392	239.22662155396725	233.17331499960073	225.70629501360128	218.2392750276018
6	ey	得	dey	0.07000000000000006	0.1200000000000001	209.76702694916227	178.29388684342854	248.44581058480978	1	0	81.5052635329493	78.4108716070306	83.99163311483808	248.44581058480978	242.59008887224837	233.29566453266114	222.03570455631996	210.94431392599472	202.28297353093436	193.6216331358743	187.06912001423748	182.68150342883308	178.29388684342854
7	&n	很	h&n	0.30999999999999983	0.3799999999999999	296.5016064827669	149.03174904065645	416.2442004301659	0.7438921805281263	0.3404496545319206	76.91031917741044	58.04053569922836	84.66123132429288	229.0393213090539	294.0866646716813	349.2109475009744	411.3682717966279	365.68042761050003	275.3374830620125	186.63726532584673	--undefined--	--undefined--	--undefined--
8	yEn	连	lyEn	0.1299999999999999	0.19999999999999973	224.43085467424493	198.52702817198377	240.74764775134017	1	0.14231554886200182	81.38899797650834	79.06179343030419	83.72138351595919	229.9707249940455	238.83369102687107	237.3503240624151	231.66157318595793	226.16151321741606	221.85927645693369	220.97762141826547	216.8700077451419	209.58548747444067	198.52702817198377
9	yaw	小	xyaw	0.1299999999999999	0.22999999999999998	272.1076667044702	262.6596151607247	282.24851071916186	0.4611173559621488	0.08217679163995072	82.93453450884974	78.45599004317538	84.51270020816366	280.30212072735077	280.34265762613245	274.0341472281591	264.7533554503927	263.00487232183514	264.26765066785674	268.8542761543239	276.806593717608	278.7256878619414	274.50862976351294
10	iN	影	yiN	0.25	0.28000000000000025	393.7200536526935	269.8152239788121	473.8303586760549	0	0.6306206206455816	82.57182179029353	77.39153885733495	87.9701718713012	269.8152239788121	300.62388704924854	328.3760959351089	362.64154472338316	421.4311866369855	466.3877252822403	470.7671757485798	450.3088572926108	415.14237217762627	383.2636767238154
11	ow	都	dow	0.06000000000000005	0.1299999999999999	290.39599539798365	277.95243868768534	325.5037724895088	1	0	84.56400736424033	82.08681079159989	87.22771889537015	325.5037724895088	313.5824973284935	301.18255864343695	288.7826199583793	285.55936744497194	283.2546419852283	280.9499165254844	279.86908780376785	278.9107632457266	277.95243868768534
12	@y	买	m@y	0.11000000000000032	0.16000000000000014	269.8383963002015	250.4245038455813	277.1454832551191	1	0.4517427531065005	83.76553498940208	81.11135099785531	85.9543483671217	270.0685174198202	271.9340780315778	272.75830091706956	274.3745096280037	276.7960397535832	274.63598709694753	271.29067769545003	266.42678523345575	259.2427413459087	250.4245038455813
13	&	了	l&	0.040000000000000036	0.06999999999999984	207.05777010098498	192.67561285354057	222.98022895966972	1	0	83.18215737469662	82.64984920993408	84.57633429625024	222.98022895966972	219.2890194131868	215.5978098667029	212.03482819034267	208.55262207457898	205.0704159588153	201.5882098430516	198.18839835664406	195.43200560509194	192.67561285354057
14	a	把	ba	0.0900000000000003	0.16000000000000014	179.50800049872478	174.95097846855194	184.70299845062917	0.8445075243530031	0	82.72871731666689	80.67794223146778	84.57993378439738	184.70299845062917	182.7260057861409	180.99447842271658	180.52428321178286	180.13553793465505	179.21503384488727	178.26019167850367	176.81154911031678	175.33101961214018	179.0021776957186
15	i	椅	i	0.25	0.25	234.1364888554523	179.0021776957186	281.4994326293372	0	1	78.50540832326571	71.3739299142041	85.21574384709932	179.0021776957186	187.85997172459085	195.30202501738844	207.74720762989242	228.03983998710015	247.29671558317668	265.6709375128501	276.8433371194048	270.07097970148243	281.4994326293372
16	I	子	zI	0.1899999999999995	0.2899999999999996	181.65612123231085	147.45837868537353	225.74977440325145	0.6347714524406229	0.10845566296693923	71.73292913117054	60.56250012876491	77.47658998807596	--undefined--	225.2579828277947	204.51346043665006	182.53538789892661	166.5559008250059	154.59085314489153	147.45837868537353	--undefined--	--undefined--	--undefined--
17	ey	这	zey	0.08999999999999986	0.16999999999999993	143.47128485051715	141.04798039367498	145.15129903762895	0.8869581724453897	0.5996430980728709	75.44376819614465	71.91343925424562	78.10952939297972	--undefined--	--undefined--	143.24451402120135	143.6559830436323	144.09402248573738	144.48517791822388	144.87330583771757	143.09212603523815	141.1708642012253	143.16454672741813
18	y@	家	jy@	0.09999999999999964	0.1299999999999999	191.56058673247168	183.71598842803834	196.63311361253176	0	0.8871834814962329	80.63104598456604	75.21565796890899	81.99569415320275	183.71598842803834	190.3587967267651	194.62303510791241	190.07500987968427	187.57252219929777	188.94658499731634	191.53284155235625	195.12944856343532	195.76561614473616	195.39065485850838
19	u	铺	pu	0.08000000000000007	0.21999999999999975	137.74291017262863	133.69920043213625	141.08823465205623	1	0.5251272546522685	68.98709900470183	64.51741238526041	71.08690561270824	--undefined--	--undefined--	136.49676513177536	137.88201825457324	139.9138956133639	140.4071650870034	138.8754720411898	137.2953604468789	135.49728043950745	133.69920043213625
20	I	子	zI	0.1299999999999999	0.20000000000000018	163.32856132437257	142.6114446071563	172.68914275647037	1	0.08158904587475863	72.95492190081039	64.12849609641302	77.45450904336272	--undefined--	172.11499860143905	169.9541133621186	166.21402792637332	163.58657311715214	162.40528976463716	162.03024463547018	160.37154869406785	154.79150637340047	142.6114446071563
21	&n	肯	k&n	0.14999999999999947	0.2999999999999998	348.0457510132586	273.20531432562905	400.1585428631135	0	0.723908194624624	82.49598047983875	79.69891601192187	85.86081993951777	273.20531432562905	294.5305274032686	306.84590842593775	317.0870386612783	339.8000720218517	374.519137942662	395.3698314862324	396.0213304501041	383.4210139298573	362.9881150147325
22	iN	定	diN	0.08000000000000007	0.11000000000000032	210.7266720749292	166.17150502679934	292.77494554142964	0.8825821995464881	0	80.21421647816418	76.859530599163	83.45624890389051	292.77494554142964	267.2389268082114	245.45522354703078	224.57029624476525	208.58487776391505	196.49998463344787	185.1295372159271	175.37364798962153	166.17150502679934	166.17150502679934
23	&n	很	h&n	0.07000000000000028	0.16000000000000014	220.15588479010808	201.88346888571556	232.30641740791992	0.008665370910268894	0.5773507532298796	80.53794731443651	76.20434307513706	81.69694603200607	201.88346888571556	208.53676574225113	215.75283158190805	222.05688399717332	226.67153108783566	231.2861781784973	228.56899074066735	223.77365001739932	218.09485678401225	209.0465446786943
24	yaN	相	xyaN	0.28000000000000025	0.41000000000000014	214.40815135426627	156.47341454740865	308.99117882131475	0.24598267899245424	1	79.04620223211096	72.91694189385377	85.35214359309512	207.194364678256	175.73097441976398	157.1585593811147	162.48156240939105	177.4511957457291	199.8416823949806	235.1989277060824	272.1273433136077	294.85289044762726	308.99117882131475
25	iN	因	yiN	0.3200000000000003	0.34999999999999964	270.38884703621324	252.00501327468254	297.22322914848746	0.845645549886622	0	77.73115852627309	54.22768081462636	86.07295273666738	297.22322914848746	287.8763504492111	276.9453501906929	277.18139011597464	264.75937723591284	260.5795143163031	262.644318513975	260.6868786400013	--undefined--	--undefined--
