interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.11999999999999994	0.22999999999999993	310.20035768074837	301.55599962032005	325.46455605562437	0.362116277882777	1	81.22285981233622	73.26677473828289	83.44013555434564	--undefined--	311.0335383261496	307.6138494414049	301.989575597313	304.4730912900431	307.31778892143996	310.4192282850977	313.0507013949929	318.29901890454386	324.99519721422416
2	iN	影	yiN	0.08999999999999997	0.12	314.28799217898137	296.7032891608	319.0589524478694	1	0	81.47277779445314	79.3745619012008	82.82126253029703	319.0589524478694	318.16627940938935	318.472142805156	318.67247064653793	317.6194674880362	316.5033347031443	314.63748000484435	312.2947136035187	304.288185590346	296.7032891608
3	iN	平	piN	0.05999999999999994	0.15000000000000002	286.2733212173454	263.95486644755107	317.4034885318031	0.977238677355353	0	83.06759637220529	79.8359172105975	85.5084844781189	317.4034885318031	307.23973874396575	300.0332649031467	294.66642065143793	289.2995763997293	282.9459858706376	275.97857110554634	269.0111563404551	266.4694747476891	266.6809044110865
4	%	时	s%	0.040000000000000036	0.12	252.06025230727258	231.55865358383488	262.21377012957623	1	0.2305839002267577	77.84191988045302	75.61369398334105	80.0117222131288	262.21377012957623	262.21377012957623	262.21377012957623	258.99592561404825	255.51621513104976	252.03650464805128	248.5567941650528	243.92813573832467	237.7433946610799	231.55865358383488
5	ow	抠	kow	0.05999999999999983	0.1499999999999999	261.8816086759075	243.69233137701818	267.484184340633	0	0.5181388245601896	77.65702277394014	74.36883037834683	80.13253209948252	243.69233137701818	251.52639977482474	259.3604681726315	266.3066342867081	266.51900132928523	266.73136837186235	266.67842291971783	264.61336300030456	262.5483030808914	261.3982104426761
6	ey	得	dey	0.08000000000000007	0.1200000000000001	250.69707922908404	230.60714845036046	280.10826090030804	0.7651303450916102	0	81.6585401985791	75.83189718452765	85.86349846372117	280.10826090030804	273.440046633382	266.771832366456	258.66083591764027	250.2696342469038	242.61264129013088	235.47142796195146	232.34995975578093	237.12360531476597	240.4535446547481
7	&n	很	h&n	0.42000000000000015	0.5800000000000001	216.36485059603882	81.7222641773386	298.3537603026636	0.9505318000215957	0.23823748640866235	76.244453600573	63.436539429272884	82.75195193294977	270.25627595462987	281.6608613035977	297.23098174030855	284.9966942522626	247.4434234569647	213.64753330163254	198.77304975502304	102.68374623485539	85.03801549788058	--undefined--
8	yEn	连	lyEn	0.12000000000000033	0.17000000000000015	125.65180304697799	112.52423046451534	133.4037682324544	0	0.9101946334089148	76.8606949505005	75.51248326355062	78.50387127711784	112.52423046451534	120.29055005863901	122.00283907345019	123.73422575065402	125.3124739218088	126.53689042867342	127.51264239107932	129.22710993265375	132.73174793519794	--undefined--
9	yaw	小	xyaw	0.14000000000000012	0.20999999999999996	307.0001891638116	298.6530250625936	320.9151491031707	0.4450154006291717	1	79.94734943513214	72.78855653863559	82.75520333205698	--undefined--	312.24948008851544	308.0396935887396	302.78581665082453	299.27662168449285	301.9099879670463	306.0583683246973	308.07622336976084	311.72661255572973	320.9151491031707
10	iN	影	yiN	0.17999999999999972	0.20999999999999996	347.60179561607663	324.14233667050223	364.4963467582222	0	0.7215662441666467	81.0995120116676	76.7415147643524	83.21930650500106	324.14233667050223	330.42961543494704	338.0308482487359	345.20374112602553	350.6414940906911	355.2005843725661	361.2464574137623	361.168561333193	351.09958242471316	346.0257389999454
11	ow	都	dow	0.05999999999999961	0.10999999999999988	313.2296993031841	301.8183863201053	334.34375057704045	1	0	81.66892889041405	80.18647325556144	82.6791827989313	334.34375057704045	327.53936122989643	320.73497188275303	314.4498100679332	312.1024395384005	309.7550690088676	307.45990017600997	305.56062596246153	303.66135174891303	301.8183863201053
12	@y	买	m@y	0.0900000000000003	0.13000000000000034	285.5342883727424	274.92761564562437	296.0198829412248	1	0	79.59401250572166	76.82181544992586	81.77157663786107	296.0198829412248	294.15621812203284	292.1815794225769	288.88902464144724	285.71992659195365	284.0169898736411	282.25429602312397	279.7819317047467	277.31608317970745	274.92761564562437
13	&	了	l&	0.03000000000000025	0.06000000000000005	261.4808923144288	249.37377673310615	270.51472207711424	1	0	78.2960162149561	77.08538530312413	79.58255416063781	270.51472207711424	268.6986364547377	266.88255083236146	265.06646520998527	263.25037958760873	261.4342939652325	259.2725608206367	255.9729661247928	252.67337142894948	249.37377673310615
14	a	把	ba	0.10000000000000009	0.1599999999999997	231.52459147437324	225.75594921690592	244.21938121481102	1	0	81.09889491716933	79.13244773746135	82.51531387821682	244.21938121481102	239.93054735598457	235.5887213973301	232.00344812989186	229.70692323990428	228.46085259744345	228.00755986963355	227.80957963730566	227.68790552523117	225.75594921690592
15	i	椅	i	0.16999999999999993	0.16999999999999993	229.81573257048476	214.4328327620335	242.1759957454813	1	0.7300839505844654	73.9386005390992	71.02572529853981	79.76630317484104	225.75594921690592	226.0131333677018	227.4060868055256	226.8538793173962	228.5163923400258	232.7051564067551	238.45407332872432	239.78289861615823	227.96424193386363	215.68928984742556
16	I	子	zI	0.18999999999999995	0.26000000000000023	222.18078501141292	189.26558244321185	268.08414469467607	0.9256744900145512	0.048543978995104015	74.91550537556604	66.27705030901195	79.03247351640663	268.08414469467607	247.26781706269776	233.1282171014102	232.5596514213154	228.01399795591593	221.96763699730997	213.36154726860866	201.89699802172657	190.18805484189662	192.45725842902624
17	&	这	z&	0.04999999999999982	0.08999999999999986	199.96457486574627	197.20018534797407	204.029019261202	0.9110577464704172	0	78.59064402527656	76.90096156979189	79.56958245810462	204.029019261202	203.03444645102758	202.03987364085307	201.04530083067866	200.1090279799716	199.22245887542664	198.33588977088172	197.4493206663367	197.58322668720416	197.78250516453116
18	y@	家	jy@	0.08999999999999986	0.1299999999999999	259.1892249964167	236.54307543630145	276.3087316630102	0	0.985057709241381	79.4358035236204	75.4044408324378	81.43244838959312	236.54307543630145	264.3806416214942	261.3141787505479	258.13251161763117	253.5826887604375	249.86614819430307	256.045595128553	262.3101726623916	269.5857537402503	275.6631512973805
19	u	铺	pu	0.050000000000000266	0.17000000000000037	212.81522219008778	149.7433075029184	251.60955396345784	1	0	70.41249015543598	69.37903487785469	71.27193870760064	251.60955396345784	241.32443810319603	231.0393222429342	220.75420638267133	214.60586245584162	211.98433165184187	209.3628008478424	206.74127004384295	179.04542900353235	149.7433075029184
20	I	子	zI	0.040000000000000036	0.10999999999999988	218.70234078672715	210.16558023378923	229.30505959821318	0.9805839002267493	0	76.18992529225005	73.4472423748552	78.27717761630375	229.30505959821318	226.73685345030108	224.168647302389	221.6004411544772	219.03223500656512	216.99266825181772	215.20792766957877	213.4231870873398	211.63844650510086	210.16558023378923
21	&n	肯	k&n	0.18000000000000016	0.31000000000000005	338.19163612917083	287.52768769169495	454.37060606873325	0	1	81.64494385544214	79.88036429535956	84.53240103894044	287.52768769169495	290.99779269588726	296.80472326199464	307.5995025595756	323.505479168287	345.0584657209159	356.0301446154084	365.1761064559824	396.25423263355947	454.37060606873325
