interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.08999999999999997	0.2099999999999999	163.81085330619695	156.77500823642052	167.45328807648954	1	0.3223104056437394	75.90144405811938	72.30263103229804	77.38141513781218	--undefined--	--undefined--	167.45328807648954	167.29579560232048	165.70827146269636	164.23568679920788	163.80675257903079	163.10468953841095	159.92261680817077	156.77500823642052
2	iN	英	yiN	0.07999999999999996	0.13	149.02154346875494	143.33209561364515	153.94594467430872	0.029080644607744358	0.6269713712642653	78.72721044123846	73.16756006393274	80.48447485897462	144.09145471141295	143.662461194706	145.78429574466685	147.94075691996707	150.28352558244188	152.69291328578507	152.99925324807919	151.08678137348653	149.62681400493588	--undefined--
3	ow	手	sow	0.07000000000000006	0.17000000000000004	160.65462370993373	147.28860371846517	169.9950929766791	0.7001133786848073	0.12868480725623588	74.23144116553208	67.81412856107016	77.48768928666654	169.9950929766791	169.9950929766791	168.4067710196794	166.52003705863737	163.26589405079002	156.32232663363772	149.37875921648552	147.28860371846517	--undefined--	--undefined--
4	oN	工	goN	0.1100000000000001	0.14	152.64409323417132	149.95140775454746	155.12889190265994	0.4100920134913958	0	78.1942683986249	75.13811333573969	79.8558997060417	155.12889190265994	152.344637918883	152.08251126873796	151.25166398862024	150.0819417217312	152.70865916527075	154.18452014380807	153.49110130130651	153.33260648137176	153.33697438712753
5	aw	好	haw	0.06000000000000005	0.1399999999999999	145.71217882303787	142.96270150965051	150.31833778329192	0.9834656084656085	0	73.56311891910266	67.3851168747526	76.79365283279304	150.31833778329192	149.403015305001	148.48769282671	147.47936255614607	145.93902771378063	144.39869287141514	143.08138042554262	143.03975608760967	142.99813174967676	142.96270150965051
6	a	差	ca	0.16999999999999993	0.29000000000000004	104.6517249173608	82.94387008263753	155.92093738307926	0.2673791166952845	1	65.26423639061902	59.531872285006656	71.3458043540978	95.02853215341865	98.14398832303338	84.72869973894686	86.57914417280305	--undefined--	--undefined--	--undefined--	--undefined--	150.24441419467556	155.92093738307926
7	a	嘛	ma	0.16999999999999993	0.26	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	66.20325204101925	55.17198772564356	76.75648058321066	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
8	yEn	连	lyEn	0.08999999999999986	0.1200000000000001	127.05813083374515	123.28028846067045	132.14506993521994	0.946019331375075	0.2493209962043217	75.5187228693946	72.09960870291633	77.60052515372747	124.476109827071	128.41979910348869	131.78089530384526	129.8520463735687	128.01654071941024	127.02859201240418	126.00468063208947	124.65422817813314	123.46985368497906	123.79346707590892
9	yaw	小	xyaw	0.11999999999999966	0.18999999999999995	139.53812069630783	130.03445982056527	146.1701916275199	0.49392776612749756	0.15839947089946596	75.5438467207917	67.65757317354495	78.10140567617168	--undefined--	146.1701916275199	142.91662454895484	137.29495694711892	132.20290405548724	132.81052326462262	137.63909332544063	142.44126248120912	144.0207496683832	142.9308465008052
10	iN	英	yiN	0.07999999999999963	0.18999999999999995	130.78287903036136	110.4393764366588	149.5589031668864	0	1	76.36528321430664	74.46376068063242	78.45485026519783	110.4393764366588	112.48537497917306	117.16614676267669	121.88268469877245	128.27601176375765	135.2689179718006	140.53252519847393	143.97164267416107	147.16375059638858	149.5589031668864
11	ow	都	dow	0.06000000000000005	0.14000000000000012	166.16178859745327	160.32707571594972	170.32806312389184	1	0.15013227513226782	74.95460148838646	72.58203782363677	76.79274988033083	170.32806312389184	170.32806312389184	169.86693579572446	169.1562074367142	168.4454790777039	166.53050014995313	163.96367917123263	161.3968581925121	160.42917325500392	160.32707571594972
12	yE	捏	nyE	0.08999999999999986	0.1200000000000001	158.4518492710238	155.044099911481	161.45946819650817	1	0.7915311792168164	76.64212266916155	73.67329857659732	79.05310495365433	155.09748452462924	156.41755080209202	157.68873768491846	158.5160996644471	159.26488708768306	159.300217539782	159.39497325473627	160.02931035641657	160.099217435687	155.044099911481
13	&	了	l&	0.03000000000000025	0.06000000000000005	145.9764817812474	140.83909428650549	151.77553412171875	1	0	72.50174973737494	70.62674668444053	74.5855419680205	151.77553412171875	150.44434105643498	149.11314799115098	147.7819549258672	146.4507618605832	145.1195687952997	143.88262642968553	142.86811571529222	141.85360500089877	140.83909428650549
14	&	个	g&	0.03000000000000025	0.08000000000000007	104.39806976871756	104.39806976871756	104.39806976871756	0.6335978835978716	0.6335978835978716	65.797360079781	64.00356270381326	67.37795869440265	--undefined--	--undefined--	--undefined--	104.39806976871756	104.39806976871756	104.39806976871756	104.39806976871756	104.39806976871756	104.39806976871756	--undefined--
15	%	狮	s%	0.07000000000000028	0.27	99.2743885483686	95.4061468820983	101.87538123114012	0.027484767890431923	0.7001133786847987	64.40637578811855	58.23889271951562	67.36671458590199	96.04643875404922	95.76368596490026	97.11352514887741	98.77009373386605	100.17816390994066	100.91575724686997	101.65335058379922	101.87538123114012	--undefined--	--undefined--
16	I	子	zI	0.16000000000000014	0.2599999999999998	83.23316072428588	75.58795909824396	95.87932320393357	0.2437996031746018	0	61.90943987082492	50.47858793377539	70.59031030805134	95.87932320393357	85.62040768356272	77.19721195442543	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
17	i	你	ni	0.11000000000000032	0.15000000000000036	126.17992214369896	111.48760667015985	141.15251679308042	0	0.7173735446830964	67.71658613766974	62.30034155193022	71.09323606667917	111.48760667015985	112.6293539993802	115.01370363157686	118.94903862004395	125.68567743513198	132.79478031509052	138.5023517657498	138.03486475345764	132.21566040660628	--undefined--
18	a	咋	za	0.08000000000000007	0.13999999999999968	132.0161458584537	116.8161083800765	150.23667336882735	1	0.11259920634921751	80.24905356688424	72.36187799757221	84.6465111726681	150.23667336882735	150.23667336882735	143.5364959371349	136.74536587062354	132.3396134767172	128.78681431119887	124.97777831811422	120.89840071796468	117.59899615647136	116.8161083800765
19	&	个	g&	0.05999999999999961	0.08999999999999986	105.16993523190705	91.43209190273916	112.57718544172562	0.9834656084656122	0	73.14360522903516	68.61581717898498	75.93497809898403	112.57718544172562	111.42536384402739	110.27354224632916	109.2931226720978	109.2931226720978	--undefined--	--undefined--	--undefined--	91.43209190273916	91.81605590867072
20	a	啥	sa	0.03000000000000025	0.0600000000000005	100.61084968497376	99.8074275760849	101.35208079952133	0	1	74.52646361657138	72.88479959052326	75.84141072247473	99.8074275760849	99.99987591671952	100.19232425735413	100.37633727012192	100.54044290912421	100.7045485481265	100.86865418712877	101.032759826131	101.19686546513329	101.35208079952133
21	I	子	zI	0.040000000000000036	0.07000000000000028	100.23926436634585	100.01486196292942	100.96189941875726	0.22519841269841281	0	63.71863208947876	56.21372724757212	72.37139876994232	100.96189941875726	100.49463864759987	100.02737787644261	100.01486196292942	100.01486196292942	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
22	ow	都	dow	0.08000000000000007	0.13999999999999968	306.144823181309	108.17137240557653	400.7177930720688	0.11259920634920641	0.9439167143925222	71.41397702968811	69.5387320538188	73.24430920958122	108.17137240557653	108.17137240557653	108.17137240557653	--undefined--	--undefined--	395.519006121919	396.57561753428274	398.7470024551031	400.2958454658467	399.83610986105873
