interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.08999999999999991	0.19999999999999996	148.08530264235586	146.52535675108942	150.4039866112794	0.8414124738469982	0.36539430587049754	75.66984217786926	66.10181490724207	80.8882552678017	--undefined--	--undefined--	--undefined--	150.4039866112794	149.419053119406	148.0346525778405	147.24650116549373	146.70017509718875	146.7591992963326	147.06374005813106
2	iN	英	yiN	0.05999999999999994	0.08999999999999997	142.80875338255885	140.61805160367396	146.00955395156222	1	0	82.25470206530618	81.60265576258159	83.00595789182671	146.00955395156222	145.40412029983776	144.77474249171175	143.8128743092499	142.85100612678806	141.9248053474557	141.493884836896	141.0629643263363	140.65828870468346	140.61805160367396
3	R	儿	R	0.09000000000000008	0.09000000000000008	142.18438339704113	140.50563062000936	144.53072000821277	0.07188960987599068	0.8971671148671582	82.8244337667445	82.31021508065659	83.23772799044023	140.61805160367396	140.55769595215975	140.73692281888896	141.01331900975032	141.5167527450874	142.1122678430843	143.01967717634633	144.05358385283537	144.26375860022327	144.1398460552506
4	yE	捏	nyE	0.09999999999999998	0.16999999999999993	136.32958204213233	129.45051835506482	143.28328129916085	0.1751998458890536	0.9638752871012504	83.79405404587763	80.85992106191722	86.02426708132595	133.49914038419908	130.1961350634798	130.68627081484	131.94445835741513	134.32633561536377	136.85565357080748	139.85108447438316	141.94753598305212	142.9012523860286	142.9504085914997
5	&	了	l&	0.040000000000000036	0.07000000000000006	138.44406709029943	120.22689529392179	144.55683894615154	1	0.08484432138751156	78.92549258670513	76.4012302470827	81.25354117037159	144.24715364597606	144.4050371463114	143.97600935974077	143.5469815731702	143.1179537865996	142.68892600002897	137.67641747599473	131.8599100819704	126.0434026879461	120.22689529392179
6	&	个	g&	0.050000000000000044	0.09999999999999998	102.15674573513664	100.93510309656601	103.37838837370728	0.6577097505668966	0.2577097505668966	74.58378500454707	72.61762778802589	76.18318076614061	--undefined--	103.37838837370728	103.37838837370728	102.9164634077625	102.23777305300104	101.55908269823958	100.93510309656601	100.93510309656601	--undefined--	--undefined--
7	%	狮	s%	0.17999999999999994	0.3699999999999999	117.13554251867602	92.07802840249902	134.61264548209434	0.18269715293524927	0.8428597905446074	71.96032425403529	66.15238537893143	77.62859880452773	--undefined--	--undefined--	94.43837452529516	101.38469466586778	109.99866745108946	120.44071409957053	128.8277929191433	133.0530630649968	133.52037643690556	131.48579244301277
8	I	子	zI	0.1499999999999999	0.25	101.27903154761296	79.13319109715852	116.0521811142306	0.6192365835222998	0.08590325018896566	71.8208236428275	64.3086337614492	78.20263740079993	--undefined--	115.36714314229994	112.30307743880451	107.62533526392568	96.58299098443715	85.26201623455707	79.13319109715852	--undefined--	--undefined--	--undefined--
