interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.06000000000000005	0.22999999999999998	90.43882841096472	87.52007779812307	93.18136193748681	0.8534580498866232	0.52012471655329	60.65733828383	59.177189114198356	61.97019630507701	--undefined--	--undefined--	--undefined--	--undefined--	93.18136193748681	92.57960979682319	90.69251508370192	88.80542037058066	87.52007779812307	87.52007779812307
2	yaw	小	xyaw	0.16999999999999993	0.2799999999999999	131.1086853237981	122.27406676286662	150.758491944897	0.40686620624228603	0.12474989995998484	76.13850865953758	65.75949874232406	79.01402871133537	--undefined--	150.758491944897	136.29931847798082	125.47003346810384	123.99445762695215	126.8775926463527	129.09206259590874	129.70841717566074	129.61350092993757	130.0777215175661
3	iN	影	yiN	0.2500000000000001	0.28000000000000014	175.2333170025716	129.507144324235	199.71377223731082	0	0.8955003164083086	77.51259310100646	73.17884753123155	80.71784497648362	129.91656323050552	138.1443744931599	151.25442980757893	167.16357053939115	177.44964688032377	188.61252419856046	194.1966123253953	197.011325117306	199.64543949401684	198.13979777797857
4	@y	买	m@y	0.09000000000000008	0.1399999999999999	190.467887387845	177.02632248424274	195.00839917662475	1	0	81.69383623258572	79.2326554018822	83.29689598018744	195.00839917662475	194.05530047351044	193.0976518317028	192.86243001397412	192.72641961696038	191.81839295056477	190.8043447075229	187.83875971211148	184.6051687023514	177.02632248424274
5	&	了	l&	0.040000000000000036	0.07000000000000006	151.35335169875572	141.17811481549924	159.29445789417105	1	0	75.67093522957165	73.69277620084856	77.85711091422014	159.29445789417105	157.6515915015315	156.15186806968364	154.65214463783576	153.152421205988	151.41102405697777	148.85279674660808	146.2945694362386	143.7363421258689	141.17811481549924
6	a	把	ba	0.10999999999999988	0.1499999999999999	133.47102074929794	131.6531072929564	142.0589966026497	0.4401115670823751	0	77.46480945011095	74.41889616298238	78.83205065309822	141.5179753383305	137.81104703430094	134.2576425681023	132.5154192487588	132.04603939167407	132.32909319751872	131.92110622806194	131.7815514781023	132.13806053395243	131.85491081904925
7	i	椅	i	0.21999999999999997	0.21999999999999997	132.4153987597401	126.24871419915526	139.73870202139605	1	0.6567637880358362	71.45815083778292	60.60021541619305	75.04583168496681	131.85491081904925	129.86011978873776	129.1878358217823	131.92195113045636	133.8891182048012	136.84340879208375	139.05801414266605	133.28360467921416	128.08377014644776	126.24871419915526
8	I	子	zI	0.1299999999999999	0.17999999999999994	110.20820352434463	93.51198815825022	125.28818129830249	0.7894090037255862	0.016470662154170878	68.24488586119531	62.39431962222423	73.04797358839474	125.13697576878579	123.9528018776938	121.89024400230645	118.9379523255322	113.94534741067214	107.16380966774649	100.12931539524135	93.59529093558577	98.43233827512594	100.35489843679058
9	u	不	bu	0.25000000000000044	0.3100000000000005	133.13933238045985	125.18270119263187	143.45145533614513	0.08655535549904576	0.8723718144907588	71.75474698376959	67.61258532245229	76.39366420663809	125.92136928778731	125.37278863725744	126.61530233116007	128.91874468657247	131.83612330317277	133.88795038906676	135.82883596184166	140.49682381274783	143.24589025702318	137.32163205225248
10	%	是	s%	0.040000000000000036	0.16999999999999993	123.68567652883803	120.81291512160807	128.81218246950954	0.5301870748299238	0.03018707482992375	68.87431109887375	68.37607438452245	69.39992973924372	128.81218246950954	127.51751646734074	125.73990150114025	123.96228653493999	122.18467156873962	120.81291512160807	120.81291512160807	120.81291512160807	--undefined--	--undefined--
11	yaw	小	xyaw	0.16999999999999993	0.23999999999999977	137.76269468261586	135.01395368302278	143.5676118136471	0.4400898344982678	0.1835734293717483	78.62434333477611	69.34931800069576	81.07663384410407	--undefined--	--undefined--	140.9488964211783	135.4410065395066	135.0856288308503	135.5877391229307	137.44044741808293	140.11545930121017	137.461918521028	137.82985971116727
12	U	雨	U	0.25	0.25	135.69601076348252	122.01477899014199	141.34599375566899	0.8048299319727885	0.48086613279875934	76.12996876651268	69.7301775408727	79.35143091319253	137.82985971116727	137.56655884121423	136.91526425722134	138.55590920819495	140.7595754938038	140.09667566497694	133.22170776792308	123.52713886992186	--undefined--	--undefined--
