interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.06	0.20999999999999996	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	58.99106368402593	58.34041790645264	59.98259551246857	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
2	yaw	小	xyaw	0.18999999999999995	0.30999999999999994	177.88444660593612	159.75819820386545	193.4348133829231	0.24975447985779653	0.7177384441444015	80.0443701979814	67.96501096628955	83.37405102034722	--undefined--	165.6552357909603	160.15878139753062	162.62151572340622	174.53374434453045	184.31905275663885	192.35400054027124	192.07514742740418	188.30903720700394	177.03585177639215
3	iN	映	yiN	0.53	0.5700000000000001	123.7668249266493	96.02350169440788	152.00391981930963	0.5071661459795718	0	71.99841150682936	64.84231861357162	78.00409475820837	152.00391981930963	125.1492203521265	119.85304687604255	102.67730382563305	99.77588024796397	102.99508066142639	130.80446063279055	143.49458988900489	145.80248222831392	145.3300611204829
4	@y	卖	m@y	0.11999999999999988	0.17999999999999994	125.22691751729408	118.28643484271143	132.7534451784877	0.17663454270597065	1	78.13745953007991	75.90264417975041	80.80598434324853	--undefined--	118.28643484271143	119.25876141635266	121.62861851604603	123.19317150661745	124.97790635560196	127.19318074008281	129.6944028952071	131.64202352493058	132.7534451784877
5	&	了	l&	0.06000000000000005	0.09000000000000008	134.8709472301349	133.70342573940383	135.8935750122169	0.8532690854119407	0.2640057780376124	74.70358702930075	70.62743570403008	77.59347944967378	134.88761310228122	135.44963910854113	135.7655973420799	135.5600485453687	135.35449974865747	135.05333600548292	134.54952944473743	134.04572288399194	133.70342573940383	133.70342573940383
6	waN	双	swaN	0.14000000000000012	0.20999999999999996	138.5464148700595	135.6557903806369	145.82782143369832	1	0.008543893747976159	75.27352899428107	68.67551005795437	77.82647495558375	145.82782143369832	141.73021181360096	139.0722785952256	137.53843639716777	136.36356837731805	137.37733447990672	138.18312808890042	138.3294990315615	137.5614725687093	135.6557903806369
7	a	袜	wa	0.18999999999999995	0.21999999999999997	120.88434873237212	118.0425480312888	127.79283467210959	0.33068543353766744	0	70.87446594003104	60.342597970617305	76.09353402391055	127.79283467210959	122.79340767149586	119.71520383057863	118.31132286986656	119.60606729299725	121.48969186244848	121.7760473597317	120.42562543303289	120.7740506091938	119.9251831059453
8	I	子	zI	0.10000000000000009	0.14000000000000012	118.28924436505928	106.88615696836109	133.1922518198141	0.8119614512471645	0.04754726919250714	67.42556160241006	59.22929373471004	74.77415485206289	132.54634190059585	131.18151367711215	128.54146709068894	120.10269432609475	114.20579974161336	114.46175862277994	112.48403081408325	108.20317527853288	106.88615696836109	--undefined--
9	u	不	bu	0.3799999999999999	0.44999999999999973	149.1942085566633	130.28157518140043	170.53668988853582	0.003147750328201162	0.959929029893379	76.95339986741496	74.77714478203109	79.61331544480548	130.28157518140043	133.0093517651243	136.1569611440773	143.3452554321383	149.6389567294305	153.54076095814622	157.32525321141767	156.69945171364802	162.73067855769514	167.49521569161482
10	%	是	s%	0.050000000000000266	0.20000000000000018	130.90192902414148	121.48379975613246	134.9301843187749	1	0.22392290249433225	69.30014208536812	68.29770779423481	70.35530294352627	--undefined--	134.9301843187749	134.9301843187749	133.9409013542201	132.93624093425774	131.93158051429526	130.19620395549504	127.29206922237418	124.38793448925333	121.48379975613246
11	yaw	小	xyaw	0.20999999999999996	0.2799999999999998	155.85292980507654	114.11766269948814	164.62083426153575	1	0.14855307202245835	77.16517369159239	66.14187234298022	81.96583318365796	--undefined--	164.62083426153575	155.87271048376056	154.95602935148236	158.97243740164902	159.92030791779794	158.26147395288436	156.8603998611639	--undefined--	114.11766269948814
12	i	丽	li	0.23999999999999977	0.27	92.33359358595294	88.42621524241613	105.06041449250266	0.37998393801965163	0	60.77265693134775	53.901014767586005	65.56901141323598	105.06041449250266	--undefined--	--undefined--	--undefined--	88.91293881972202	89.56191550936994	90.850001874189	94.30972927693294	91.98739696341772	89.00100518090781
