interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.030000000000000027	0.16999999999999998	225.62561384390244	209.96374210220782	238.86831865523925	1	0.01696841601068013	75.88190897318117	75.40798162107784	76.00555997873394	235.35840085093403	236.50094044777228	237.02680059264148	232.75728768563172	228.48777477862197	224.21826187161204	219.9487489646023	215.67923605759253	211.97523671299152	212.6687383536901
2	yaw	小	xyaw	0.17999999999999994	0.31999999999999995	327.77858156200335	301.7419161144709	335.9883181390118	1	0.6194120807020188	82.99839503558121	76.12502506077215	85.06735254321221	--undefined--	322.69458053912007	325.54089968396806	325.62630138971394	329.43979817921854	335.26708084861497	335.49090254101253	333.0404892445196	326.26710001301586	301.7419161144709
3	iN	英	yiN	0.08000000000000007	0.17000000000000004	265.12864015091003	230.95812215536736	319.5942641578346	0	1	82.20344565079185	78.0634975920983	84.87819244711652	230.95812215536736	235.25749196985964	242.11564375735037	248.97817266299052	255.9387620812027	262.899351499415	275.0207210723687	288.49144989736646	303.4261367527538	319.5942641578346
4	yE	捏	nyE	0.11999999999999988	0.20999999999999996	280.324417705544	273.07729159532914	295.73781893902367	0.3380510437405914	0	84.87857130623341	82.5584206669857	85.97940674615606	295.73781893902367	283.5449561797847	276.93840198266105	273.87831417865135	275.88828203918587	278.47582535109854	280.93654064226206	282.6428717353085	282.79826441047936	281.09800780876014
5	&	了	l&	0.030000000000000027	0.06000000000000005	243.05148870590173	227.92872217545872	259.36741781351117	1	0	76.6074238901472	75.32277035888026	79.03424525971501	259.36741781351117	255.67809349361983	251.99726412489895	248.38249251080123	244.7677208967035	241.15294928260607	237.53817766850835	233.92340605441063	230.43494829741135	227.92872217545872
6	&	个	g&	0.040000000000000036	0.07000000000000006	216.8336777963877	214.17490547883997	220.87758657712467	0.05667166611156844	1	80.32770641616528	79.44444457852481	81.3879246693817	214.71446044895578	214.4005024790982	214.70129034833985	215.43735577249925	216.17342119665864	216.90948662081794	217.67390969830424	218.74180199124442	219.80969428418453	220.87758657712467
7	%	狮	s%	0.09999999999999987	0.2899999999999998	209.7565515400743	205.30115310857715	212.65610066475122	0	0.6550281339583117	76.63866268570308	72.87754844163939	77.76766136291211	205.30115310857715	207.49691366466965	208.23074055446796	207.6897389463421	209.42286665177258	211.97935875773328	212.05017486817175	211.8551419515769	211.07470894707205	210.607184464996
8	I	子	zI	0.14000000000000012	0.18000000000000016	201.05251123313187	184.08615018861533	210.4474156303316	1	0.20645889487663913	76.80968846947293	68.60350108071128	82.30325939703987	209.98599376647906	209.71698093418536	210.06655184042503	208.50866990308046	205.97362815093106	203.07458400545258	196.90720315900057	190.86965924217762	186.9989187181791	184.08615018861533
9	u	不	bu	0.12000000000000033	0.18000000000000016	209.18444148399374	202.35748227095817	217.43019308383938	0	0.9356467043916528	79.70974016001699	76.05088936730024	81.40301337253378	202.35748227095817	206.00712621221524	206.57406567463104	206.53099239536496	207.18006767611186	208.31552548719205	210.0131026966005	212.80847616142358	215.37437200410605	215.55011337636444
10	%	是	s%	0.029999999999999805	0.08999999999999986	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	70.37407125632076	69.68703892053598	71.75602438536248	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
11	yaw	小	xyaw	0.13999999999999968	0.22999999999999998	217.45269914472868	205.77671828035983	230.9484137691675	0.9900704188108914	0.11633462908972868	76.73469411872082	68.6204569476823	79.31026471859836	--undefined--	230.9484137691675	225.4750177116616	219.94783587619065	215.33338194424348	212.46486491971856	213.75949811836725	214.6943663543518	211.33773090937157	206.94420332383393
12	aN	刚	gaN	0.2599999999999998	0.33000000000000007	104.38457871513684	88.18938366056838	189.44858840462567	0.1394394983462022	0	71.45234052618044	57.27439772856687	75.24638365443712	189.44858840462567	99.2599491836802	95.8896220020709	98.71339547606561	98.05599152469695	99.21385546979904	96.48431182553331	98.22313785602461	102.67623241885961	--undefined--
