interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.08999999999999997	0.17999999999999994	255.74969114333362	248.54095311710353	267.91758410338304	0.673412872036361	0	76.40987382396114	66.50386253142076	79.37659074104704	267.91758410338304	266.3543058015591	260.1011925942634	254.8259195691746	252.4841670907064	250.53008967953713	249.73903747026475	250.22093643733405	254.52168893342852	258.8469653798436
2	&N	梦	m&N	0.07000000000000006	0.15000000000000002	414.33174121316324	316.1200381280845	543.6554332181832	0	1	74.03512754902599	68.78422319405898	81.2403818040428	316.1200381280845	321.71908116154464	327.3181241950046	353.18916112733166	385.81752935928233	419.96304165079886	461.0874166163179	502.2117915818377	527.9209034138062	543.6554332181832
3	@n	烂	l@n	0.08999999999999997	0.13	211.20533930619234	175.10334843237428	320.2197997795145	0.7455153083071459	0	78.57894065671377	72.34145059045898	84.00811199884612	320.2197997795145	284.5398784047393	249.6076823964443	216.91866248759212	190.46690917034755	182.72695562792597	176.96184499833603	177.1212631072417	177.20201397495302	177.04676311908125
4	a	伽	ga	0.050000000000000044	0.08000000000000007	191.02411217089963	188.6047764357075	193.45901061796502	0.7418161064814826	0.3383084852207971	72.86720420874259	68.06525811298967	75.9814070971122	189.68150091540693	190.87946806750014	192.07743521959335	193.27540237168654	192.31038238470262	190.9636587849402	189.6169351851779	188.9723025747832	190.43394293249145	191.89558329019968
5	a	杂	za	0.030000000000000027	0.07000000000000006	219.9891354817224	210.09433321978776	227.60133646931726	1	0.09130805756998309	77.63658516724092	77.12561619960682	78.79539338011739	224.84629988507942	225.79667430428626	226.747048723493	224.9764919410783	222.29895809145629	219.62142424183452	216.94389039221252	214.26635654259053	211.58882269296876	210.09433321978776
6	wey	柜	gwey	0.10000000000000009	0.15999999999999992	170.52006397357948	158.2758094439967	189.29977974140598	0.9573904385968004	0	76.18774579378596	71.61811722216511	80.28360184905281	189.29977974140598	189.21610894658045	185.6979812161002	177.53323527855719	169.2918684525256	161.00452909340058	159.51492750386402	159.45205151470037	158.7956433007522	158.49775204739726
7	I	子	zI	0.030000000000000027	0.06000000000000005	163.8051464093512	162.24642229560774	165.6901069834674	0	1	66.76359351886624	66.48789325295044	67.0557476931823	162.24642229560774	162.85252748521478	163.45863267482176	163.70308897930224	163.82699565540722	163.95090233151217	164.07480900761712	164.19871568372207	164.32262235982702	165.6901069834674
8	&	的	d&	0.029999999999999805	0.07999999999999985	178.59976740597463	168.9365049822823	186.59468485502697	0.9844081498493316	0	78.20802921456246	77.50405348596435	79.40094482957318	186.59468485502697	185.86843493687115	185.1421850187154	182.97464976614128	180.32668606876126	177.678722371381	175.030758674001	172.38279497662074	169.73483127924072	170.38795205330885
9	ey	嘞	ley	0.19999999999999996	0.26	186.4638372973264	150.42561156880623	212.4159713761551	0.764901979939995	0.22447500558329564	76.48171950505353	62.313061383981065	82.95427736484297	201.04805086279083	208.01208052553537	211.7333263209107	207.17905642447855	195.45713376418502	179.23258265391084	162.99574625610904	152.10689317890387	174.59345853410736	171.1032785199744
